"state","city","population","violent.crime","murder","rape","robbery","assault","property.crime","burglary","larceny","gta","arson"
"1","alabama","Abbeville",2645,11,1,1,2,7,63,21,39,3,NA
"2","alabama","Adamsville",4481,19,1,0,7,11,321,58,252,11,NA
"3","alabama","Addison",744,1,0,1,0,0,25,6,17,2,NA
"4","alabama","Alabaster",31170,44,0,2,11,31,640,70,544,26,NA
"5","alabama","Alexander City",14692,119,2,16,12,89,661,121,510,30,NA
"6","alabama","Aliceville",2419,7,0,0,2,5,48,16,26,6,NA
"7","alabama","Andalusia",9079,34,1,4,6,23,491,95,379,17,NA
"8","alabama","Anniston",22648,461,5,39,78,339,1988,770,1120,98,NA
"9","alabama","Arab",8295,32,0,5,4,23,640,166,414,60,NA
"10","alabama","Ardmore",1304,2,0,0,0,2,31,7,23,1,NA
"11","alabama","Arley",353,3,0,0,0,3,27,12,11,4,NA
"12","alabama","Ashford",2177,2,0,0,0,2,54,8,46,0,NA
"13","alabama","Ashland",1926,9,0,0,1,8,63,24,35,4,NA
"14","alabama","Ashville",2239,10,0,1,0,9,88,35,48,5,NA
"15","alabama","Athens",23972,16,0,1,11,4,755,116,627,12,NA
"16","alabama","Atmore",10099,52,2,4,9,37,201,41,150,10,NA
"17","alabama","Auburn",57970,115,2,6,35,72,1930,346,1514,70,NA
"18","alabama","Bay Minette",8398,47,0,3,5,39,272,33,221,18,NA
"19","alabama","Bear Creek",1059,4,0,0,0,4,12,2,8,2,NA
"20","alabama","Bessemer",27240,527,3,15,161,348,3199,725,2265,209,NA
"21","alabama","Birmingham",212001,2852,63,178,969,1642,14157,4018,8661,1478,NA
"22","alabama","Blountsville",1697,6,0,3,0,3,71,14,49,8,NA
"23","alabama","Brent",4894,16,0,1,3,12,90,12,72,6,NA
"24","alabama","Brewton",5331,47,0,7,2,38,258,43,202,13,NA
"25","alabama","Bridgeport",2389,13,0,1,0,12,6,0,6,0,NA
"26","alabama","Brilliant",892,4,0,0,2,2,23,8,13,2,NA
"27","alabama","Butler",1850,6,0,0,1,5,40,15,22,3,NA
"28","alabama","Camp Hill",995,22,1,2,1,18,29,13,14,2,NA
"29","alabama","Carbon Hill",1988,14,0,1,5,8,121,30,78,13,NA
"30","alabama","Cedar Bluff",1814,20,0,1,1,18,191,63,122,6,NA
"31","alabama","Centre",3603,21,0,4,2,15,254,41,194,19,NA
"32","alabama","Centreville",2708,0,0,0,0,0,36,9,25,2,NA
"33","alabama","Chickasaw",6001,53,0,5,13,35,401,152,230,19,NA
"34","alabama","Childersburg",5111,1,0,0,1,0,104,42,59,3,0
"35","alabama","Citronelle",3881,22,2,0,2,18,169,45,106,18,NA
"36","alabama","Clanton",8682,52,0,2,10,40,597,66,512,19,NA
"37","alabama","Clayton",2967,8,0,0,1,7,41,22,18,1,NA
"38","alabama","Coaling",1677,10,0,0,1,9,92,22,63,7,NA
"39","alabama","Collinsville",1978,6,0,1,1,4,65,24,38,3,NA
"40","alabama","Cordova",2050,15,0,4,0,11,48,10,34,4,NA
"41","alabama","Creola",1924,10,0,1,1,8,56,9,46,1,NA
"42","alabama","Crossville",1850,0,0,0,0,0,25,5,17,3,NA
"43","alabama","Cullman",14881,31,2,6,7,16,633,110,493,30,NA
"44","alabama","Dadeville",3186,17,0,3,1,13,151,34,107,10,NA
"45","alabama","Daleville",5260,17,0,5,1,11,103,25,64,14,NA
"46","alabama","Daphne",23204,31,1,3,5,22,526,89,421,16,NA
"47","alabama","Dauphin Island",1236,4,0,2,0,2,65,13,50,2,NA
"48","alabama","Decatur",56091,149,5,12,26,106,2553,569,1831,153,NA
"49","alabama","Demopolis",7240,47,1,3,4,39,293,43,246,4,1
"50","alabama","Dora",1992,21,0,6,1,14,127,32,80,15,NA
"51","alabama","Dothan",67811,334,4,16,78,236,2502,591,1802,109,NA
"52","alabama","Double Springs",1064,5,0,0,0,5,27,6,19,2,NA
"53","alabama","Douglas",762,1,0,0,0,1,61,21,37,3,NA
"54","alabama","East Brewton",2437,22,0,1,0,21,60,18,36,6,NA
"55","alabama","Eclectic",1015,11,0,2,0,9,60,14,46,0,NA
"56","alabama","Elba",3955,29,0,4,6,19,157,46,108,3,NA
"57","alabama","Enterprise",28145,112,2,11,25,74,774,154,573,47,3
