"gwno","event_id_cnty","event_id_no_cnty","date","year","time_precision","event_tax","actor_tax","ally_actor_1","inter1","actor2","ally_actor_2","inter2","interaction","country","admin1","admin2","admin3","location","latitude","longitude","prec_tax","source","notes","fatalities","month","day","spec_id"
475,"2871NIG",48759,2011-01-01,2011,1,"Non-violent activity by a conflict actor","Boko Haram","",3,"","",0,30,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Suspected Boko Haram arsonists burnt a church in a northern Nigerian city. Arsonists Saturday night who set a fire on the church that gutted a section of it before the fire was put out by residents. No one was hurt in the attack as there were no worshippers in the church at the time.",0,1,1,"A-1"
475,"2872NIG",48760,2011-01-03,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Police Forces of Nigeria (2007-2010)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected members of a radical Islamist sect blamed for a spate of recent attacks in northern Nigeria shot dead an off-duty policeman in Maiduguri. The victim was wearing civilian clothes and was about to enter his home when the attack took place. ",1,1,3,"A-2"
475,"2873NIG",48761,2011-01-03,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Gunmen killed three people at a movie theatre in a northern city in an attack police believe is politically-motivated ahead of general elections. The assailants were believed to be thugs loyal to a local politician. ",3,1,3,"A-3"
475,"2875NIG",48763,2011-01-04,2011,1,"Non-violent activity by a conflict actor","DDM: Delta Democratic Militia","",3,"","",0,30,"Nigeria","Delta","Ughelli North","","Ughelli",5.5,5.98333,1,"BBC Monitoring Africa","A little-known group calling itself the Delta Democratic Militia claimed responsibility for an arson attack which razed the INEC offices in Delta state to the ground. The group claimed the attack was a warning against electoral malpractice in the upcoming polls.",0,1,4,"A-4"
475,"2876NIG",48764,2011-01-04,2011,1,"Battle-No change of territory","PDP: People's Democratic Party","",3,"RPN: Republican Party of Nigeria","",3,33,"Nigeria","Oyo","Ogbomosho North","","Orogun",8.15,4.2833,1,"ChannelsTV","Three people were killed in Orogun after a clash between supporters of two governorship candidates of the RPN and PDP. ",3,1,4,"A-5"
475,"2874NIG",48762,2011-01-04,2011,1,"Protests","Rioters (Nigeria)","Boko Haram",5,"","",0,50,"Nigeria","Adamawa","Demsa","","Jimeta",9.28333,12.46667,1,"BBC Monitoring Africa","A riot broke out at Jimeta Prison complex when suspected Boko Haram inmates attempted a prison break by overpowering guards. The attempted break-out was unsuccessful. ",0,1,4,"A-6"
475,"2879NIG",48767,2011-01-07,2011,1,"Violence against civilians","Christian Militia (Nigeria)","",4,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,47,"Nigeria","Plateau","Barkin Ladi","","Dogo na Hawa",9.8,8.95,1,"Agence France Presse","Two buses carrying Muslim passengers were attacked in a Christian village in central Nigeria, leaving one dead and another eight missing and feared dead. The buses carrying people who had attended a wedding were believed to have lost their way and ended up in the Christian village of Dogo Nahauwa. One bus had managed to escape, but the other one carrying eight people has not been found raising fears for their lives.",9,1,7,"A-7"
475,"2877NIG",48765,2011-01-07,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Labour Party",7,37,"Nigeria","Bayelsa","Kolokuma/Opokuma","","Opokuma",5.13333,6.3,1,"Reuters","Attackers have targeted a rally for a prominent politician in Nigeria's oil-producing region, killing at least two people and wounding scores of others. Some people were attacked inside Alaibe's compound and some outside. ",2,1,7,"A-8"
475,"2878NIG",48766,2011-01-07,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Gombe","Akko","","Gombe",10.28944,11.17167,1,"Agence France Presse","Gunmen opened fire at an open-air tavern in northeastern Nigeria, killing six people, while two others were injured, one of them critically. The motive for the attack at the tavern outside a hotel in the city of Gombe was not immediately clear and police could not provide details on the assailants. ",6,1,7,"A-9"
475,"2880NIG",48768,2011-01-08,2011,1,"Riots","Rioters (Nigeria)","Muslim Group (Nigeria)",5,"Police Forces of Nigeria (2010-)","",1,15,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Muslim youths set up burning barricades in parts of the Kwararasa neighbourhood of Jos when news of an attack the previous night on a bus of Muslim passengers spread. Police reported one youth was killed in the rioting and his body had been taken to the local mosque. ",1,1,8,"A-10"
